,revisions,edited pages,revisions/page,mean contribution,first activity,last activity
ClueBot NG,1453,138,10.5289855072,0.0181424811333,2010-11-02 23:30:22,2015-03-24 14:29:31
ClueBot,884,118,7.49152542373,0.0113195886677,2007-08-18 07:29:55,2010-11-30 01:17:06
SmackBot,438,191,2.29319371728,0.0118970465834,2006-03-04 21:18:38,2011-07-07 16:47:13
Luckas-bot,313,146,2.14383561644,0.00812468639671,2009-08-07 14:25:56,2012-05-20 14:07:27
Addbot,301,261,1.15325670498,0.00885531548876,2013-02-19 14:36:55,2013-07-31 00:09:53
YurikBot,278,125,2.224,0.00891393327748,2005-07-13 07:56:58,2006-08-27 22:12:16
Yobot,272,163,1.66871165644,0.00914925997187,2009-02-03 23:36:35,2015-03-09 00:54:31
EmausBot,205,115,1.78260869565,0.00661161730259,2010-06-20 16:44:09,2014-01-30 22:25:43
AnomieBOT,201,111,1.81081081081,0.00710490119767,2009-04-19 02:26:46,2015-03-08 20:56:38
SieBot,197,95,2.07368421053,0.00715566089989,2007-04-07 13:13:56,2011-01-14 04:41:05
Xqbot,197,99,1.9898989899,0.00686976515148,2009-02-06 04:16:38,2014-05-08 15:05:39
Mathbot,197,126,1.56349206349,0.00825758285069,2005-04-14 03:15:46,2007-08-24 03:15:46
AntiVandalBot,196,41,4.78048780488,0.00414337088165,2006-06-13 21:06:46,2007-04-01 19:13:44
VoABot II,196,48,4.08333333333,0.00463847294097,2006-10-03 16:05:36,2009-09-24 10:19:30
Thijs!bot,171,112,1.52678571429,0.00616473503619,2006-06-02 10:25:53,2012-02-27 18:38:52
JAnDbot,139,75,1.85333333333,0.00527543194484,2006-10-18 21:21:13,2012-12-13 15:56:06
Chobot,129,70,1.84285714286,0.00450472762678,2005-05-26 06:48:49,2012-10-23 05:16:24
VolkovBot,126,85,1.48235294118,0.00575810011613,2007-01-16 16:39:53,2012-12-12 13:35:41
TXiKiBoT,125,74,1.68918918919,0.00493306977872,2007-02-28 16:28:07,2011-02-10 16:48:59
Citation bot,120,75,1.6,0.00738574424209,2008-10-13 21:26:30,2015-03-01 12:49:12
Helpful Pixie Bot,119,98,1.21428571429,0.00822085825972,2011-07-20 07:16:25,2012-05-13 15:16:20
MartinBot,118,45,2.62222222222,0.00495801848316,2006-10-12 14:49:43,2007-08-30 13:51:59
ZéroBot,117,84,1.39285714286,0.00791391416109,2010-04-23 12:01:39,2013-01-18 17:27:58
Robbot,116,70,1.65714285714,0.00411797849549,2003-10-13 17:07:20,2013-01-03 04:10:02
FrescoBot,114,81,1.40740740741,0.00517151069747,2009-03-18 15:51:21,2014-11-27 19:48:58
Citation bot 1,104,64,1.625,0.0086870822132,2009-05-20 02:38:15,2014-10-25 05:18:26
Tawkerbot2,91,24,3.79166666667,0.0029816050672,2006-03-06 14:09:22,2006-10-23 19:35:13
FlaBot,91,67,1.35820895522,0.00590590084058,2005-04-30 02:55:42,2008-11-20 18:15:12
XLinkBot,73,41,1.78048780488,0.0046131906894,2008-02-19 10:10:01,2015-02-25 16:55:19
Bluebot,71,64,1.109375,0.00609331819214,2005-10-30 05:41:34,2006-09-28 18:30:11
RjwilmsiBot,63,43,1.46511627907,0.00860596220685,2009-12-17 09:04:30,2014-04-18 14:31:31
BG19bot,61,49,1.24489795918,0.00480854938217,2012-11-28 06:15:55,2015-03-05 07:35:52
RibotBOT,54,47,1.14893617021,0.00388066152072,2009-01-31 08:46:59,2013-01-19 22:14:53
Cydebot,52,49,1.0612244898,0.00605605225701,2006-05-12 06:32:52,2014-11-11 09:14:38
ChuispastonBot,52,38,1.36842105263,0.00523153628919,2010-12-16 23:23:48,2012-04-19 21:02:02
Monkbot,52,38,1.36842105263,0.00577422522197,2014-01-14 00:12:05,2015-01-18 22:30:35
AlleborgoBot,50,40,1.25,0.00434938646451,2007-04-16 00:49:24,2008-11-29 17:52:55
ArthurBot,49,40,1.225,0.00379122512519,2008-11-30 08:04:48,2011-11-17 15:36:17
Escarbot,48,36,1.33333333333,0.00357701046254,2006-07-01 14:46:05,2013-01-04 05:20:32
Lightbot,47,45,1.04444444444,0.00645244982237,2008-06-15 23:43:53,2009-01-09 22:07:29
