revision id,sentence,false positive
44303445,# Helen Fisher. ''Why We Love: the Nature and Chemistry of Romantic Love'',1
38045385,There are several Greek words for Love that are regularly referred to in Christian circles.,1
254545827,"There are several Greek words for ""love"" that are regularly referred to in Christian circles.   ",1
110709507,"  However, Arthur Schopenhauer believed that love is the irrational striving of the will to love.  ",1
46107433,Love.html '04 Poll of 250 Chicagoans] – Institute of Human Thermodynamics (Chicago)</ref>,1
46107433," author=Ackerman, Diane | title=A Natural History of Love | publisher=Vintage Books | year=1994 | id=ISBN 0679761837",1
46107433,"Romantic Love and Calls It ""Limerence"": The Collected Works",1
38039644,There are several Greek words for Love that are regularly referred to in Christian circles.,1
89151734,Nature and Chemistry of Romantic Love | publisher = Henry Holt and Company | year = 2004 | id,1
28675692,"(Symbolism and Metaphor)|heart]], a frequent modern symbol of love]]",1
43884807,# Helen Fisher. ''Why We Love: the Nature and Chemistry of Romantic Love'',1
35768097,There are several Greek words for Love that are regularly referred to in Christian circles.,1
40797612,There are several Greek words for Love that are regularly referred to in Christian circles.,1
27195498,There are several Greek words for Love that are regularly referred to in Christian circles.,1
33077872,There are several Greek words for Love that are regularly referred to in Christian circles.,1
30372438,There are several Greek words for Love that are regularly referred to in Christian circles.,1
234045052,There are several Greek words for Love that are regularly referred to in Christian circles.,1
28492722,There are several Greek words for Love that are regularly referred to in Christian circles.,1
44815524,# Helen Fisher. ''Why We Love: the Nature and Chemistry of Romantic Love'',1
30505950,There are several Greek words for Love that are regularly referred to in Christian circles.,1
687051,Agape or God’s love.,1
167136899,Love versus Profane Love' by Giovanni Baglione]],1
167136899,There are several Greek words for Love that are regularly referred to in Christian circles.,1
28186624,There are several Greek words for Love that are regularly referred to in Christian circles.,1
6594670,". Although Mo Zi was influential, the Confucian jen is how most modern Chinese conceive of love",1
450190356,<ref>{{cite web|title=Article On Love|url=http://www.slideshare.net/azharabbas/just-love|accessdate=13 September 2011}}</ref>,1
36069764,There are several Greek words for Love that are regularly referred to in Christian circles.,1
31300379,There are several Greek words for Love that are regularly referred to in Christian circles.,1
36908360,There are several Greek words for Love that are regularly referred to in Christian circles.,1
27195339,There are several Greek words for Love that are regularly referred to in Christian circles.,1
142307701,"Sign Language - ,\,,/ (represents position of fingers when signing'I Love You')",1
36643688,There are several Greek words for Love that are regularly referred to in Christian circles.,1
40797895,There are several Greek words for Love that are regularly referred to in Christian circles.,1
371579279,"There are several Greek words for ""love"" that are regularly referred to in Christian circles.",1
27701729,There are several Greek words for Love that are regularly referred to in Christian circles.,1
37808297,There are several Greek words for Love that are regularly referred to in Christian circles.,1
218580549,There are several Greek words for Love that are regularly referred to in Christian circles.,1
37669646,There are several Greek words for Love that are regularly referred to in Christian circles.,1
27606826,There are several Greek words for Love that are regularly referred to in Christian circles.,1
39249264,There are several Greek words for Love that are regularly referred to in Christian circles.,1
40397347,There are several Greek words for Love that are regularly referred to in Christian circles.,1
31613768,There are several Greek words for Love that are regularly referred to in Christian circles.,1
27325387,There are several Greek words for Love that are regularly referred to in Christian circles.,1
27316419,There are several Greek words for Love that are regularly referred to in Christian circles.,1
27205622,There are several Greek words for Love that are regularly referred to in Christian circles.,1
31614019,There are several Greek words for Love that are regularly referred to in Christian circles.,1
192857793,There are several Greek words for Love that are regularly referred to in Christian circles.,1
29922086,There are several Greek words for Love that are regularly referred to in Christian circles.,1
34849038,There are several Greek words for Love that are regularly referred to in Christian circles.,1
39443162,There are several Greek words for Love that are regularly referred to in Christian circles.,1
42373983,There are several Greek words for Love that are regularly referred to in Christian circles.,1
