,count,inflections
cn|date=juli,7,cn|date=July
portugal.,7,Portugal.
foul,2,foul
interchang,56,"interchangeably, interchangable, interchangeable, interchangably"
four,4,four
wrong—also,2,wrong—also
cistercian,47,Cistercian
"truthfulness/honesty,",1,"truthfulness/honesty,"
perspectives==,43,"perspectives==, Perspectives=="
authorit,50,authoritative
คุณธรรม,17,คุณธรรม
smith|authorlink=patricia,5,Smith|authorlink=Patricia
131-141,18,131-141
utterlli,1,utterlly
131-147,2,131-147
======,1,======
wizardri,1,wizardry
maladapt,40,maladaptive
443-457,29,443-457
deli,31,DeLi
/sub,4,/sub
/sup,3,/sup
//forums.philosophyforums.com/threads/morality-part-of-human-nature-or-merely-a-byproduct-57635-2.html,1,//forums.philosophyforums.com/threads/morality-part-of-human-nature-or-merely-a-byproduct-57635-2.html
ironi,1,irony
scholar,5,"scholars, scholar"
wooden,1,wooden
anyways..,1,Anyways..
knell,1,knell
"her,",1,"her,"
miller,26,Miller
pubic,2,"Pubic, pubic"
second,27,"Second, second"
fece,1,feces
|publisher=danger,6,|publisher=Dangerous
ruthless,1,ruthless
others’,9,others’
decre,63,decrees
slave-own,18,slave-owning
utltim,3,utltimately
montaño,2,"MONTAÑO, MONTAÑo"
specialist,1,specialists
avers,1,aversion
intellectu,15,"Intellectuals, intellectual"
whose,95,"Whose, whose"
"reasons,",1,"reasons,"
==the,1,==The
here,64,"Here, here"
herd,1,herd
chine,5,Chinese
china,47,China
evolutionist,2,evolutionists
herp,1,herpes
dori,33,Doris
k,7,K
controversi,60,controversial
golden,51,"Golden, golden"
===darwinian,1,===Darwinian
stirner,9,Stirner
unit,100,"United, units, unit"
dna,1,DNA
dnt,1,dnt
music,1,music
octopu,2,octopus
//moralsandethics.wordpress.com/,15,//moralsandethics.wordpress.com/
ofver,1,ofver
strike,2,"strike, strikes"
until,16,until
sub-group,8,sub-groups
refor,1,refor
relav,1,Relavism
relat,168,"relation, relations, relates, relating, Related, related"
|accessdate=2012-05-06,30,|accessdate=2012-05-06
notic,2,Notice
hurt,10,"hurts, hurt"
98,10,98
exce,1,exceeds
holi,4,Holy
91,2,91
93,26,93
hold,361,"hold, holds"
delinquency|page=3|accessdate=,11,Delinquency|page=3|accessdate=
kimberley-ritchie|k.ritchi,1,Kimberley-ritchie|k.ritchie
conceptu,2,Conceptually
yup,1,YUP
near-univers,11,near-universal
seealso|argu,3,seealso|Argument
natekarund,1,Natekarunder
etiquett,11,etiquette
unjust,6,unjust
centuri,71,"centuries, Century, century"
infus,10,infused
want,63,"wants, want, WANT, wanting, wanted"
doi|10.1016/j.neuroimage.2009.10.062,8,doi|10.1016/j.neuroimage.2009.10.062
cleanup-date|januari,11,cleanup-date|January
worldview,3,worldviews
classifi,54,classified
revisit,30,revisited
how,527,"how, How"
hot,7,"hot, HOT"
symposium,8,Symposium
perspect,114,"perspective, perspectives, Perspectives, Perspective"
1177,2,1177
web|url=http,39,web|url=http
ethics|eth,8,ethics|ethical
wrong,718,"wrongs, wronged, wrongness, Wrong, Wrongful, wrong, wrongfully"
beauti,16,"beauties, beauty"
unselfish,5,unselfish
conduct|cod,26,conduct|codes
vicin,1,vicinity
revolv,17,revolve
imposs,6,impossible
9780333262047,7,9780333262047
dispar,8,disparity
pantheist,1,pantheistic
wing,4,"wings, Wing"
===clarifi,7,===Clarifying
neuroimag,15,Neuroimage
consequences:,2,consequences:
'bad,1,'bad
affect,25,"affective, affected, affects, affect"
2012|date=2011-09-26,2,2012|date=2011-09-26
vari,45,"varies, varied, varying"
some-,1,some-
distibut,1,distibution
fit,73,"fit, fitness"
fix,1,fix
easier,3,easier
lots'a,1,lots'a
hard.th,1,hard.The
effect|,1,effect|
sixteen,1,sixteen
counter,27,counter
arrog,6,"arrogant, Arrogance"
goon|ev,1,Goon|Ever
whim,1,whim
feinberg,5,Feinberg
"retaliation,",1,"retaliation,"
self-car,7,self-care
396,27,396
unshar,9,unsharable
ru,42,ru
self-,1,self-
homicid,192,"homicide, Homicide"
ha,632,"Has, has"
group|accessdate=,27,Group|accessdate=
ry,14,ry
womenlol.jpg|a,1,Womenlol.jpg|A
re,4,"RE, Re"
adapt,8,Adaptive
ro,9,ro
sensori,3,sensory
md.,1,MD.
navig,28,navigation
moralność,42,Moralność
knit,34,knit
"infanticide,",2,"infanticide,"
coaster.jpg|how,1,Coaster.jpg|How
20litwin|thumbnail|default|mr,1,20Litwin|thumbnail|default|mR
unabl,11,unable
r.,328,R.
confus,76,"confusion, confused"
redirect2|immoralist|appropriate|th,1,Redirect2|Immoralist|Appropriate|the
vertebr,1,vertebrates
wasp,1,wasps
others—mor,9,others—more
instruct,9,instructed
'start,1,'Start
//www.omninerd.com/articles/articles.php,2,//www.omninerd.com/articles/articles.php
evolut,183,"evolution, Evolution"
necessarili,45,necessarily
label|e|e|non,14,label|E|e|none
similarli,8,Similarly
súhrn,5,súhrn
listen,4,Listen
braintrust,3,Braintrust
seper,2,seperation
wisdom,8,wisdom
university|date=,9,University|date=
liter,21,literally
peril,1,perils
"blanchard,",1,"BLANCHARD,"
coward,2,cowards
project,44,"project, Projective"
friend,55,"Friend, friends, FRIENDS, friend"
"harm/care,",1,"harm/care,"
''link,2,''Link
boston,5,Boston
well.,24,well.
increment,54,incremental
infring,34,infringement
incompat,1,incompatible
doi:,2,DOI:
dozen,14,Dozens
irrevoc,1,irrevocably
|legal,1,|legal
especi,164,"especially, Especially"
kaya,2,kaya
|last=,25,|last=
moralita,7,"moralitas, Moralitas"
object,307,"objectivity, objectives, object, objectively, objective, objects, Objective, objections, Objectivity"
alam,2,Alam
mouth,5,"mouth, MOUTH, MOUTHS"
addict,3,Addiction
letter,3,"Letters, letter"
thriller,1,thriller
shalt,20,shalt
academ,10,"academical, academic"
professor,13,Professor
micheál,1,Micheál
quote|woman,1,quote|Woman
detriment,2,"detriment, detrimental"
nineteenth,1,nineteenth
ahlak,17,Ahlak
came,7,"Came, came"
explan,133,"explanation, explanations"
ostentati,1,ostentatious
sexist,1,sexist
‘,58,‘
198-225,19,198-225
//www.ericthomasweber.org/weber-rprh.pdf,3,//www.ericthomasweber.org/Weber-RPRH.pdf
28359,8,28359
releas,29,"Released, releasing"
==chang,1,==Changes
plainview.gif|thumb|,1,Plainview.gif|thumb|
theme,24,themes
busi,56,"busy, Business"
rich,1,rich
"green,",1,"Green,"
plato,3,plato
"thoughtfulness,",1,"thoughtfulness,"
giggl,1,giggles
"matter,",1,"matter,"
transcrani,22,transcranial
'morel,1,'morel
127–159,16,127–159
respond,1,respond
nintendo|anyth,1,Nintendo|anything
fair,75,"fair, Fairness, fairness"
ongo,2,ongoing
liverpool-bas,1,Liverpool-based
immoralist,5,Immoralist
//www.counterpunch.org/schivone08032007.html,11,//www.counterpunch.org/schivone08032007.html
result,79,"resulting, result, results"
respons,259,"responsiveness, responses, responsible, Response, responsibility, Responsibility, response, responseability"
fail,61,"Fail, fails, fail"
news,2,News
triver,1,Trivers
best,51,"BEST, best"
wikipedia,14,"wikipedia, Wikipedia"
//dictionary.reference.com/browse/eth,1,//dictionary.reference.com/browse/ethics
figur,6,figures
score,11,"scoring, scores"
humankind,2,humankind
unto,37,unto
gokhale.jpg|250px,1,gokhale.jpg|250px
arguecat3|arguecat3,1,Arguecat3|Arguecat3
scorn,9,scorn
inabl,75,inability
never,7,"never, Never"
manabu,1,manabu
extend,41,"extended, extends"
talk:125.60.241.203|talk,1,talk:125.60.241.203|talk
extent,29,extent
toler,15,"toleration, Tolerance, tolerance, tolerable"
advertis,5,"advertisements, advertising, advertisement, advertise"
debt,3,"debts, debt"
unfound,9,unfounded
piti,3,pity
non-real,24,non-realism
logic,21,"logics, logic, logical"
countri,40,"country, countries"
seri,32,series
and,9126,"and, And, AND"
"cohesively,",1,"cohesively,"
2nd,4,2nd
self-esteem,28,self-esteem
press|location=,158,Press|location=
251,1,251
assum,103,"assume, assumed, assumes"
matti,1,matty
godhead,2,Godhead
|coauthors=,22,|coauthors=
fri,1,fried
much,104,"MUCH, much"
craig,1,Craig
hesit,1,hesitation
life,275,"life, LIFE"
regul,165,"regulations, regulation, regulating, regulated, regulate"
spit,1,spit
eastern,16,Eastern
worker,2,workers
male|natur,1,Male|natural
likli,1,likly
child,131,"child, children, Children"
spin,1,spinning
cum,1,cum
cunt,1,CUNTSS
867-80,1,867-80
commerci,25,commercial
employ,2,"employed, employment"
marriag,55,"marriage, Marriage, marriages"
fr:,1,fr:
capulet,1,Capulets
'rule,7,'rules
rediscov,4,rediscovered
harmoni,5,harmoniously
credit,47,credited
rebellion,7,"rebellion, Rebellion"
development.png|thumb|,1,Development.png|thumb|
atheist/agnost,2,"atheist/agnostics, Atheist/Agnostic"
european,60,European
fairli,1,fairly
refin,62,"refinements, refined, refines"
animal-rabid,1,animal-rabid
differences.,7,differences.
bewar,2,"BEWARE, beware"
*cochran,7,*Cochran
palahnuik,1,Palahnuik
"which,",1,"which,"
needed|date=may,4,needed|date=May
no_girls_on_the_internet,1,no_girls_on_the_internet
legisl,45,"legislators, legislation"
mot-a,1,Mot-a
capitol,1,capitolize
terrorist,1,terrorists
rule|golden,5,Rule|golden
previous,3,previously
hah,1,HAH
easi,2,easy
haa,1,Haa
deterr,34,deterrent
authority|author,6,authority|authority
ideal,127,"ideals, ideal, Ideal"
prison,44,"prison, Prison"
scrotum,1,scrotums
doi=10.1177/0022427889026003002,1,doi=10.1177/0022427889026003002
preserv,2,"preserving, preservation"
birth,25,birth
measur,114,"measures, measure, Measures, measured"
god’,2,God’s
specif,124,"specific, specifically"
philopsoph,4,philopsophers
remind,1,reminder
lol.by,1,lol.bye
underli,18,underlying
right,1085,"Right, Rights, rights, righting, right, rightness, rightful"
old,39,"olds, Old, old"
crowd,5,crowded
creed,14,creeds
for,2268,"For, FOR, for"
bottom,2,bottom
caesar’s”,27,Caesar’s”
condit,73,"conditioning, conditions, condition, Conditioned"
fon,77,Fons
umi,29,UMI
sensibl,28,"sensible, Sensible"
reguard,1,reguarding
york|,2,York|
colleg,10,"College, college"
//www.philosophyblog.com.au/ethics-vs-morality-the-distinction-between-ethics-and-morals/,39,//www.philosophyblog.com.au/ethics-vs-morality-the-distinction-between-ethics-and-morals/
|first5=,15,|first5=
slightli,1,slightly
o,18,"o, O"
rebuf,1,rebuffed
despair,1,despair
"university,",1,"university,"
article=biology_morals_dharma,23,article=biology_morals_dharma
creativ,11,creative
|last=o’connel,14,|last=O’Connell
''conscienc,7,''Conscience
moralitas,2,moralitaser
suffici,46,"sufficiently, sufficient"
0805075208,1,0805075208
geisler|geisl,9,Geisler|Geisler
support,139,"supporting, supporters, SUPPORTING, support, supported, supports"
happi,19,"happiness, happy"
avail,29,available
"systems,",1,"systems,"
goddamn,1,goddamn
jane,2,Jane
call,211,"call, CALL, called"
jang,31,Jang
constantli,14,constantly
philosophy|publisher=,9,Philosophy|publisher=
offer,19,"offered, offering, offer"
antisoci,10,"Antisocial, antisocial"
university|,22,University|
duel,1,duels
"relativist,",1,"relativist,"
strongest,34,strongest
deinit,1,deinition
coauthors=mark,51,coauthors=Mark
adopt,29,"adopting, adopt"
//video.google.com/videoplay,1,//video.google.com/videoplay
proven,3,proven
'',4964,''
exist,364,"existed, existence, exists, existance, existing, exist, Existence, Exist"
"model,",1,"model,"
ёс,3,Ёс
'alway,1,'Always
brother’,4,Brother’s
role,126,role
observacion,2,Observaciones
presum,13,presumed
smell,4,"smell, smells"
off-topic|deontolog,3,Off-topic|Deontology
intend,38,"intends, intended"
devot,17,devotion
'g,1,'gs
'd,20,'d
intent,158,"intentions, intent, intention, intentional"
'a,1,'a
'm,3,'m
personality.gif|a,1,personality.gif|A
societ,89,"societal, Societal"
"dominated,",1,"dominated,"
steadi,3,steady
time,184,"TIME, Time, time, times"
push,9,push
quandari,2,quandary
whoever,9,whoever
ingroup,70,ingroup
chair,1,chair
hole,2,hole
decid,54,"Deciding, decides, deciding, decided, decide"
biblic,7,"biblical, Biblical"
uncondit,1,unconditionally
religion,1197,"religion, religions, Religion, Religions"
decis,198,"decision, decisions, Decision"
ass-fuck,1,ass-fuck
cheap,1,Cheap
child:,1,child:
amotz,1,Amotz
philippe|title=cross-n,4,Philippe|title=Cross-National
exact,16,exact
seealso,1,seealso
judaism,125,Judaism
07:04,1,07:04
tear,1,tear
-base,11,-based
unsupport,15,unsupported
bible|bibl,11,Bible|biblical
non-naturalist,14,non-naturalists
hero|daniel,1,Hero|Daniel
''did,41,''Did
prevent,22,"Prevent, prevention, prevent"
nietzsch,5,Nietzsche
''kind,16,''kindness
servitud,1,servitude
currenc,1,currency
|quote=|doi=,18,|quote=|doi=
abdullah,1,Abdullah
current,29,"current, Current, currently"
religiosit,1,religiosit
"paul,",1,"Paul,"
burkett,24,Burkett
//rejectshame.r2bw.com/rsabuse.html,1,//rejectshame.r2bw.com/RSabuse.html
honour,3,honour
vanderbilt,57,Vanderbilt
juri,3,juries
address,191,"addressing, addresses, address, addressed"
along,18,"along, Along"
brilliant,1,brilliant
endow,3,endowed
drug|drug,1,Drug|drugging
commonli,64,commonly
ourselv,28,ourselves
347,2,347
love,107,"Love, love, LOVE, loving"
santa,1,Santa
canin,1,canines
prefer,67,"preference, prefer, preferred, preferences"
relations.,1,relations.
instal,1,install
도덕,18,도덕
getlaid,1,getlaid
wang,1,wang
mergefrom|moral_cod,4,mergefrom|Moral_code
kerley,41,KERLEY
sources==,13,sources==
increas,197,"increase, increases, increased, increasing"
angri,1,angry
``,2160,``
afford,3,afford
peopl,576,"people, PEOPLE, peoples, People"
enhanc,77,"enhances, enhanced"
visual,4,visual
мараль,7,Мараль
pretend,2,pretend
whatev,90,whatever
webster,2,"Webster, Websters"
’s,65,’s
sexayyyyyi,1,SEXAYYYYYY
|ideal,29,|ideal
stole,1,stole
iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiihhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhaaaaaaaaaaaaaaaaaaaaaaaattttttttttttttttttttttttttttttteeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,1,iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiihhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhaaaaaaaaaaaaaaaaaaaaaaaattttttttttttttttttttttttttttttteeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee
matthi,28,Matthys
work.jpg|a,1,work.jpg|A
/ref,1760,/ref
jfirst,1,jfirst
s/,1,s/
s.,366,"S., s."
"s,",3,"s,"
omnivor,1,omnivores
spot,1,spot
date,35,"date, dates"
such,917,"such, SUCH, Such"
suck,7,"suck, Suck, SUCK, sucking"
data,5,data
convincingli,23,convincingly
stress,25,"stresses, stress, stressful"
conscious,3,consciousness
sr,29,sr
sq,30,sq
sw,5,sw
sv,40,sv
sk,11,sk
sh,17,sh
so,148,"So, SO, so"
sl,14,sl
sf,1,sf
|author=fernandez,19,|author=Fernandez
deiti,1,deity
zmag,11,Zmag
expier,1,expierences
thumb,5,thumb
devianc,30,deviance
jim,1,jim
cognitive-development,16,cognitive-developmental
torr,1,Torre
|first=michael,15,|first=Michael
“true”,26,“true”
deviant,31,Deviant
income|url=http,4,Income|url=http
nation,213,"nations, National, nation, Nations, nationalism, national"
ofttim,25,ofttimes
therebi,10,thereby
cheetah,1,cheetah
'selfish,2,'selfish
pseudo-senti,1,pseudo-sentient
morobay,1,morobay
separ,53,"separated, separation, separate"
breach,7,breach
viewsth,1,ViewsThe
