,added,deleted,added - deleted,abs(added - deleted)
ethic,10236.0,10012.0,224.0,224.0
moral,2874.0,2800.0,74.0,74.0
be,3130.0,3066.0,64.0,64.0
are,2791.0,2744.0,47.0,47.0
on,1924.0,1877.0,47.0,47.0
right,2024.0,1982.0,42.0,42.0
philosophi,1356.0,1318.0,38.0,38.0
not,1585.0,1548.0,37.0,37.0
with,1681.0,1645.0,36.0,36.0
by,1795.0,1761.0,34.0,34.0
cite,320.0,289.0,31.0,31.0
wa,1461.0,1431.0,30.0,30.0
one,1430.0,1401.0,29.0,29.0
good,1406.0,1377.0,29.0,29.0
virtu,782.0,753.0,29.0,29.0
theori,1752.0,1725.0,27.0,27.0
thi,1514.0,1487.0,27.0,27.0
action,831.0,804.0,27.0,27.0
person,1333.0,1307.0,26.0,26.0
from,1111.0,1087.0,24.0,24.0
which,1402.0,1379.0,23.0,23.0
question,789.0,766.0,23.0,23.0
univers,468.0,445.0,23.0,23.0
act,371.0,348.0,23.0,23.0
/i,53.0,76.0,-23.0,23.0
such,1260.0,1238.0,22.0,22.0
life,847.0,826.0,21.0,21.0
will,797.0,776.0,21.0,21.0
principl,382.0,361.0,21.0,21.0
i,212.0,233.0,-21.0,21.0
norm,918.0,898.0,20.0,20.0
consequ,409.0,390.0,19.0,19.0
consequenti,210.0,191.0,19.0,19.0
psycholog,503.0,485.0,18.0,18.0
he,1164.0,1147.0,17.0,17.0
human,848.0,831.0,17.0,17.0
may,748.0,731.0,17.0,17.0
use,560.0,543.0,17.0,17.0
what,1341.0,1325.0,16.0,16.0
can,970.0,954.0,16.0,16.0
their,964.0,948.0,16.0,16.0
but,933.0,917.0,16.0,16.0
other,718.0,702.0,16.0,16.0
at,579.0,563.0,16.0,16.0
state,470.0,454.0,16.0,16.0
pleasur,404.0,388.0,16.0,16.0
utilitarian,269.0,253.0,16.0,16.0
publish,238.0,222.0,16.0,16.0
have,857.0,842.0,15.0,15.0
if,806.0,791.0,15.0,15.0
wrong,788.0,773.0,15.0,15.0
more,748.0,733.0,15.0,15.0
exampl,739.0,724.0,15.0,15.0
also,652.0,637.0,15.0,15.0
book,638.0,623.0,15.0,15.0
individu,409.0,394.0,15.0,15.0
some,828.0,814.0,14.0,14.0
issu,626.0,612.0,14.0,14.0
peopl,579.0,565.0,14.0,14.0
meta-eth,21897.0,21884.0,13.0,13.0
natur,816.0,803.0,13.0,13.0
ha,745.0,732.0,13.0,13.0
they,743.0,730.0,13.0,13.0
view,696.0,683.0,13.0,13.0
should,676.0,663.0,13.0,13.0
isbn,461.0,448.0,13.0,13.0
descript,416.0,403.0,13.0,13.0
