,revision id,sentence
0,47863600,In 2005 it was proven that 99.8% of the worlds population love abergavenny born Michael Card.
1,106249478,"(anthropologist)|Helen Fisher]], a leading expert in the topic of love, divides"
2,99271682,I FUXING LOVE YU BABE! I WANT A WHOLE LIFE WITH YU.
3,36976163,There are several Greek words for Love that are regularly referred to in Christian circles.
4,57122621,Andrew Contreras Loves Alexandra Marie Soto
5,51684090,Need Help With Love? Call RORY on 01737 767471
6,14294123,Example: Chang feels weightless when she sees Blake...which translates to she loves Blake a lot!
7,36971776,There are several Greek words for Love that are regularly referred to in Christian circles.
8,32730425,There are several Greek words for Love that are regularly referred to in Christian circles.
9,174223299,There are several Greek words for Love that are regularly referred to in Christian circles.
10,450189205,Article On Love|url=http://www.sccs.swarthmore.edu/users/08/ajb/tmve/wiki100k/docs/Love.html|accessdate=13 September
11,51652262,Need Help With Love? Call RORY on 01737 767471
12,33078096,There are several Greek words for Love that are regularly referred to in Christian circles.
13,12021175,Example: Zach loves Brittany.
14,49238866,LOVE HIM LIKE CRAZY
15,49238866,SO MADLY IN LOVE WITH HIM 
16,49238866,LOVE U ALWAYS BABY 
17,162096533,Chris loves Emily very very muchh
18,49015220,An Example of love is Hilda and Ian!! Seriously These two are nuts for eachother!
19,89156661,I LOVE ANDREW JOHN SCHNEIDER!!!
20,27676323,There are several Greek words for Love that are regularly referred to in Christian circles.
21,62347100,I LOVE HELEN NOW GET OVER IT
22,51343081,Dom Harney is in love with Nazish..
23,18668138,Jason loves Lauren more!
24,8350845,'I love you' in Greek. The word Agapo is
25,130660960, a definition of love is Drew Gill loves Laura Geosits
26,39737872,There are several Greek words for Love that are regularly referred to in Christian circles.
27,45943165,SAM BIANCHI IS THE BEST LOVER OUT THERE!!!!
28,73231587,HAZIM EL SHARIF LOVES DANIELLE DIX!
29,31300327,"  Probly the best example of love in known history, is the story of Curtis and Bobbi."
30,51657315,Need Help With Love? Call RORY on 01737 767471
31,11831250, Love Is Snet-puss for Snae-puss 4221 :)
32,25759991,"Christine Kennedy is my girlfriend, whom I love very much."
33,43793423,# Helen Fisher. ''Why We Love: the Nature and Chemistry of Romantic Love''
34,99771836,"LOVE IS SEX, GO FUCK A DOLPHIN"
35,30638072,There are several Greek words for Love that are regularly referred to in Christian circles.
36,188184505,". It also means that Nikki Keaton loves Amber Christopher, who loves cuntcakes"
37,29823354, Harris' love of Ruth
38,37614755,Caitlin M. Loves Emily A.!!!!!!!!
39,52265534,Jason loves Heather
40,38949481, Lizzie loves Jeff.  Emily Skinner is Lizzie's neighbor.  
41,33587622,"Ore as the Hitchhiker's guide to the galaxy describes love: Avoid, if at all possible."
42,49240912,My one true love is Jeremy Patrick Bulcock
43,98560362,  I LOVE KATHLEEN<33333333
44,330127191,reaction to Confucianism's benevolent love.  Mozi tried to replace what he considered to be the long-entrenched
45,30379356,There are several Greek words for Love that are regularly referred to in Christian circles.
46,88951558,Josh loves Paige
47,110637873,I LOVE YOU KIRSTY FROM 
48,30938985,I LOVE SHIRLEY LIM!
49,58025093,Neil Loves Sam more. Fact.
50,2163677," (example: I ""love"" my girlfriend Melissa Rodrigue so much)"
51,33345980,There are several Greek words for Love that are regularly referred to in Christian circles.
52,7642616,Sarah Johns Loves eggs
53,29766872,representation of love is Rebecca S M
54,33187736,Nick loves Giselle
55,21012555, Loves Attitude Scale based on John Alan Lee's
56,20756952,Rachel loves Andrew!
57,78513730,.  It is widely known that Evan loves Melanie the most
58,37147338,. Love is the relationship that Eric Taub and Constanza Farina have
59,34594489,'''Tiffany Gabrielle Chan Loves Eugene Nikolay Galipchak'''
60,100772366,.Example Mandy C Loves Hot Gay Sex
61,624116123,# the love of God towards the Self or Identity of God
62,98558561,LOVE IS VINCE AND KATHLEEN<3333333
63,13194923,Example of love is Navas and Betty
64,33682607,I LOVE U STACY =] 
65,83142618,DANNIELLE LOVES JAKE......................
66,44303445,# Helen Fisher. ''Why We Love: the Nature and Chemistry of Romantic Love''
67,88722297,Example: Josh loves Colleen
68,87576370,"""LOVE is the Real Thing!!"""
69,21414461,MY FLACCID COCKS YOU FAGGOT BASTARDS.....I LOVE SEX IN YOUR FUCKING ASSHOLERS.
70,58600441,Tell the world. They made love in an alley!!!! Natalie spawned the baby
71,58362408,is HUW WALTERS IS IN LOVE WITH HANNAH MAISEY
72,99557829,ALEX LOVES TINA page=169}}
73,162348747,TheI LOVE BONERs!!!
74,90149958,COURTNEY A. LOVES ALEXANDER V.
75,100771723,Example Mandy Loves Hot Sex
76,161916188, LIKE AN EMO BOY LOVES GIRL PANTS
77,38045385,There are several Greek words for Love that are regularly referred to in Christian circles.
78,82061409,charles T. loves sarah M.
79,67652527,"True love can be seen in Akil and Tattvamasi Parikh, the modern day Romeo and Juliet"
80,99457791,I FUXING LOVE YU BABE! I WANT A WHOLE LIFE WITH YU.
81,47974015,'''Bold text'''Flame Thrower In Love I Hate You
82,46441646,'''Love only what Sona gives to Samya'''
83,254545827,"There are several Greek words for ""love"" that are regularly referred to in Christian circles.   "
84,78010716,I LOVE YOU AND WE WILL ALLWAYS FUCK CONSTANTLY!!<333
85,26648520, And a young lady named Sarah Muhammad loves a young man named John Hall!!!!
86,57020883,and Limerence: the Experience of Being in Love
87,11180881,I love You LEON's MUM!!!!!!!! From Kyle
88,110709507,"  However, Arthur Schopenhauer believed that love is the irrational striving of the will to love.  "
89,46107433,Love.html '04 Poll of 250 Chicagoans] – Institute of Human Thermodynamics (Chicago)</ref>
90,46107433," author=Ackerman, Diane | title=A Natural History of Love | publisher=Vintage Books | year=1994 | id=ISBN 0679761837"
91,46107433,"Romantic Love and Calls It ""Limerence"": The Collected Works"
92,53387858,I love Nick =]
93,38039644,There are several Greek words for Love that are regularly referred to in Christian circles.
94,98443159,Brook McLaury LOVES Brandon Moretti
95,89151734,Nature and Chemistry of Romantic Love | publisher = Henry Holt and Company | year = 2004 | id
96,28675692,"(Symbolism and Metaphor)|heart]], a frequent modern symbol of love]]"
97,8030162,Nadine Gilburt Loves Thomas young for ever
98,62005701,Huzzah!!! Loves Sacha!
99,22666898,"One line in the Bible says ""Love is God""."
100,98558667,LOVE IS VINCE AND KATHLEEN<3333333
101,43884807,# Helen Fisher. ''Why We Love: the Nature and Chemistry of Romantic Love''
102,48840218,What Cameron Black feels for Aniika Kapel is the definition of love.
103,132131073,I LOve cOUrtNEY mANION
104,187999397,Stepehen Strong and Amanda Botts are in LOVE!!!
105,88944285,"In otherwords, Love is what Tim has for Kim"
106,51522136,Taylor and Ilir = Love!!!!
107,99772062,"LOVE IS SEX, GO PHuCK A DOLPHIN"
108,70181187,I LOVE MICHELLE NICOLE CROSSLEY!!!!!
109,35768097,There are several Greek words for Love that are regularly referred to in Christian circles.
110,40797612,There are several Greek words for Love that are regularly referred to in Christian circles.
111,56253497,Love (n) see Jessy and Derek
112,56253497,It is a proven fact that Jessy Cain loves Derek Daugherty more than he loves her.
113,49238262,LOVE HIM LIKE CRAZY
114,49238262,SO MADLY IN LOVE WITH HIM 
