,count,inflections
circuitri,1,circuitries
orthogon,23,orthogonal
galactica,1,Galactica
*luo:,1,*Luo:
interchang,2,"interchangeable, interchangeably"
four,156,"four, Four"
pragma|pragma,3,Pragma|Pragma
''lian'ai,1,''lian'ai
//www.nl.wikipedia.org/wiki/erich_fromm,1,//www.nl.wikipedia.org/wiki/Erich_Fromm
|last=chadwick|first=henry|title=saint,1,|last=Chadwick|first=Henry|title=Saint
authorit,18,authoritative
==overview==,63,==Overview==
onself,1,onself
oeb,2,OEB
jell-o,1,Jell-O
lorn,1,Lorne
lori,1,Lori
jzzz.info,1,jzzz.info
lore,32,lore
lord,164,"lord, LORD, Lord"
//www.love-songs.info,2,//www.love-songs.info
stright,1,stright
965,2,965
===simpl,1,===Simple
lumin,23,luminous
delv,1,delved
/sup,1,/sup
206-992-8151,1,206-992-8151
scholar,23,"scholars, Scholars"
polyamori,50,Polyamory
theology|theologian,156,"Theology|theologian, Theology|theologians"
fantaz,3,fantazing
croatian,2,Croatian
tired,1,tiredness
miller,6,Miller
seper,4,"seperated, seperate, seperating"
"clarinette,",1,"Clarinette,"
second,110,"seconds, second, Second"
275,132,275
bacot,1,bacot
pp-semi-protected|small=y,2,pp-semi-protected|small=yes
"nature,",7,"nature,"
nature.,7,nature.
gujarati,2,Gujarati
|enlighten,74,|enlightenment
''aijin,12,''aijin
ac'hanout,1,ac'hanout
intellectu,6,"intellectually, intellectual"
hero,2,"heroes, hero"
//www.thefamousquotations.com/subjects/love-and-romance-quotations.htm,4,//www.thefamousquotations.com/subjects/love-and-romance-quotations.htm
culd,1,culd
//www.healthnewsblog.com,27,//www.healthnewsblog.com
suga,1,suga
here,272,"here, Here"
"fire,",9,"fire,"
chine,625,Chinese
lgbt,1,LGBT
ching,2,CHING
kyndal,1,Kyndall
china,121,China
===interperson,57,===Interpersonal
averi,7,AVERY
caru,3,caru
"perspective,",1,"perspective,"
unseemli,10,unseemly
deterior,79,deteriorates
personifi,109,personified
k,161,"K, k"
robin,2,Robin
kidd,1,kidd
unangwa'ta,3,unangwa'ta
ความรัก,25,ความรัก
re-emerg,1,re-emerges
controversi,7,"controversy, controversial, Controversy"
golden,7,Golden
05.,4,05.
960,2,960
ichema,1,ichema
9b,31,9B
unif,12,Unification
upādāna|attach,17,Upādāna|attachment
brought,6,brought
andfwfwfqfqf,1,andfwfwfqfqf
txt,1,txt
//www.bakerpublishinggroup.com/me2/dirmod.asp,3,//www.bakerpublishinggroup.com/ME2/dirmod.asp
unit,98,"United, unite"
adarsh,1,adarsh
"fame,",4,"fame,"
brittani,12,"BRITTANY, Brittany"
spoke,18,spoke
"concept,",3,"concept,"
exhort,1,exhorts
angier,1,Angier
music,154,"music, musical"
9\,1,9\
behaviour|volume=24|pages=339–357|doi=10.1111/j.1468-5914.1994.tb00259.x,1,Behaviour|volume=24|pages=339–357|doi=10.1111/j.1468-5914.1994.tb00259.x
strike,46,striking
l'histoir,1,l'histoire
friendship-lov,1,friendship-love
until,20,"untill, until"
relax,7,"relax, relaxation"
“birth,1,“birth
georgian,2,Georgian
relat,653,"relations, related, Relations, relation, Related, relates, relational, relating"
28hinduism,44,28Hinduism
notic,2,"notices, noticed"
hurt,20,"hurting, HURTS, hurts, hurt"
99,87,99
glass,1,glass
g-spot,4,"G-spot, g-spot"
holi,6,Holy
90,18,90
93,229,93
biblic,163,"biblically, biblical, Biblical"
95,3,95
arab====,1,Arab====
accid,1,ACCIDENT
generalis,2,generalisation
==new,1,==New
conceptu,76,"conceptualization, conceptualizing"
|beatl,1,|Beatles
coprophilia,1,coprophilia
''ar-rahman,1,''Ar-Rahman
tröt,1,tröt
wang,41,"WANG, wang"
wank,2,"wank, wanks"
virtu,339,"Virtue, virtue, Virtues, virtues"
masaru,10,Masaru
l'oeuf,1,l'oeuf
caution,79,cautions
want,506,"wants, WANTS, WANT, Want, want, wanting, wanted"
balloon-shap,1,balloon-shaped
hang-ov,1,hang-over
hob,3,"Hob, hob"
carous,1,carouse
hoo,5,"Hoo, hoo"
travel,46,"Travelled, Traveled, travel, traveled"
classifi,49,"classifying, classifies"
how,744,"how, How"
hot,447,"HOT, Hot, hot"
hou,3,hou
"attract,",3,"attract,"
hop,1,Hop
turk,27,"turk, Turks, Turk"
==classic,1,==Classical
perspect,18,perspective
dusty+leah,1,dusty+leah
id=42,2,id=42
web|url=http,4,web|url=http
cuss,1,cuss
wrong,245,"wrongs, wrong, WRONG"
"ejaculatory,",1,"ejaculatory,"
beauti,883,"beautiful, Beautiful, beauty, Beauty"
shorey,2,SHOREY
unselfish,262,unselfish
''l'amour-pass,2,''l'amour-passion
pantheism,58,pantheism
sioux,2,Sioux
cheri,1,Cheri
nympho,1,NYMPHO
childhood,57,childhood
dziemianko,1,Dziemianko
==dear,8,==DEAR
4-,1,4-
wind,1,wind
wine,79,wine
lian'ai,57,lian'ai
some1,2,some1
//www.onlinecalculators.info/love-calculator.php,1,//www.onlinecalculators.info/Love-Calculator.php
surrend,23,"surrender, Surrendered"
papiamento,2,Papiamento
mabel,10,Mabel
appar,190,apparently
*greek:,1,*Greek:
vari,354,"varies, vary, varying"
4pe9,1,4pe9
fir,1,fir
tujhashi,2,tujhashi
dablink,1,dablink
funni,2,"FUNNY, funny"
fix,4,"fixing, fix, fixed"
connel,1,CONNELL
4eva,2,"4EVA, 4eva"
hidden,1,hidden
easier,277,easier
proch,1,Proches
//www.the-love-poems.info/,1,//www.the-love-poems.info/
babyrap,1,babyraper
afekrishaleh,1,Afekrishalehou
glorifi,91,glorified
surgic,1,surgical
sove,1,Sove
prize,2,prize
ref|equ,2,ref|equation
arrog,1,arrogant
vouloir,1,vouloir
''whi,215,''Why
arrow,114,"Arrow, arrow"
printsec=frontcov,36,printsec=frontcover
f.v,13,F.V
allah,163,Allah
file:2009-valentin,2,File:2009-Valentine
yiddish,2,Yiddish
veracruz,18,Veracruz
pissi,1,pissy
whip,1,whip
goarg,1,Goarge
ru,209,ru
self-,3,self-
pokemon,2,pokemon
ry,1,RY
mason,2,"mason, Mason"
rd,1,Rd
re,1,re
===indonesian,8,===Indonesian
ro,9,ro
ri,1,Ri
“love”,30,"“love”, “Love”"
abbott,4,"abbott, Abbott"
sa=x,23,sa=X
navig,8,navigator
underfoot,1,underfoot
self-deceiv,2,self-deceiving
immort,11,"immortality, immortal"
jennif,3,"JENNIFER, Jennifer"
kayla,6,"Kayla, KAYLA, kayla"
hermeneut,2,"Hermeneutics, hermeneutics"
impostit,1,impostitions
loveeeeeeeee,1,LOVEEEEEEEEEE
ate,41,ate
district,1,DISTRICT
over-attach,6,over-attachment
++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++,1,++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
att,1,att
7it,7,7It
r.,331,R.
confus,26,"confusion, confuse, confused"
omgzorz,1,OMGZORZ
kanimo,2,kanimo
elma,1,Elmas
wast,3,"waste, WASTE"
wash,48,"wash, washes"
unperson,2,unpersonal
zh.svg|thumb|150px|,1,zh.svg|thumb|150px|
yhoissa,10,"yhoissa, Yhoissa"
für,3,für
//dictionary.reference.com/browse/lov,63,//dictionary.reference.com/browse/love
déplacent,1,déplacent
iniqu,13,iniquity
evolut,14,evolution
kṛṣṇa-prema,3,Kṛṣṇa-prema
adject,2,adjective
master,7,"masters, master, Masters, Mastering"
similarli,109,"similarly, Similarly"
staci,4,"Stacy, STACY"
bitter,4,Bitter
hewitt,1,Hewitt
danish,2,Danish
wizard,11,Wizard
unend,2,unending
geneva,4,Geneva
hadn’t,1,hadn’t
wisdom,299,"Wisdom, wisdom"
recently-inv,87,recently-invented
"2008,",1,"2008,"
jugo,1,jugo
lyndon,1,Lyndon
crawl,2,crawl
scarborough,6,Scarborough
wiktionary-inline|lov,3,Wiktionary-inline|love
galant,1,Galante
"lechery,",1,"lechery,"
tree,4,"Tree, tree, trees"
project,116,"project, projection, projected"
consentu,1,Consentual
kathalikkinren,1,kAthalikkinREn
recheck,68,rechecking
explicitli,2,explicitly
shiteiru,26,shiteiru
behavior,63,"behaviors, behavior, behavioral"
intelectu,2,"intelectual, INTELECTUAL"
esto,1,esto
spectrum,1,spectrum
"well,",2,"well,"
hug,110,"Hug, hug, hugging"
100,5,100
westleigh,2,westleigh
incompat,7,incompatible
tale,18,"tale, tales"
//www.merriam-webster.com/dictionary/lov,11,//www.merriam-webster.com/dictionary/love
spageti,1,spageti
gilburt,1,Gilburt
especi,123,"especially, Especially"
wikiquote-inlin,2,Wikiquote-inline
''lust,174,"''Lust, ''lust"
season,10,season
==jamich==,1,==Jamich==
|last=,69,|last=
simplifi,57,Simplified
sevda,1,Sevda
===ancient,153,===Ancient
child.jpg|grandmoth,5,child.jpg|Grandmother
antropología,9,Antropología
4735943837,1,4735943837
doin,1,doin
object,455,"Object, objects, objective, object"
victoria,6,"VICTORIA, Victoria"
phileo,112,"phileo, Phileo"
mouth,3,mouth
letter,206,"Letters, Letter, letter, letters"
netlov,1,NetLove
wellb,1,wellbeing
singer,5,"Singer, singer"
"kay,",2,"Kay,"
majh,1,majhe
emotion|emot,1,emotion|emotional
unexplain,2,unexplainable
unpleas,3,unpleasant
professor,9,"professor, Professor"
camp,1,Camping
hospit,103,"hospitality, hospital"
kavita,2,kavita
bisexu,1,Bisexual
scream,2,scream
came,10,"CAME, came"
verses:,2,verses:
interpretaion,1,interpretaion
bomb,1,bomb
=sex,1,=SEX
ፍቅር,6,ፍቅር
teresa,5,Teresa
too..,1,too..
ugly.suf,2,ugly.Sufism
0000ff,4,0000ff
openli,2,openly
asia,73,Asia
gif|200px|thumb|right|th,1,gif|200px|thumb|right|The
shirley,1,SHIRLEY
thinketh,10,thinketh
"flourishing,",1,"flourishing,"
thai,6,Thai
lubu,19,lubu
vishal,2,Vishal
//it.slashdot.org/comments.pl,3,//it.slashdot.org/comments.pl
11111,1,11111
frankav,1,frankavalli
cupid,110,Cupid
theme,250,"themes, theme"
rick,1,Rick
rich,3,"RICH, Rich"
psyøk,1,PsyØk
plate,1,plate
محبت,5,محبت
james|title=a,4,James|title=A
|title=what,2,|title=What
npov-sect,1,NPOV-section
plato,206,"plato, Plato"
foremost,2,"Foremost, foremost"
moga,2,moga
"author=ackerman,",2,"author=Ackerman,"
net,1,net
mélang,1,mélange
nuestra,1,nuestra
ner,1,ner
nhebuk,1,nhebuk
sa'di,14,Sa'di
them.,9,them.
mcsmartsmart,1,McSmartSmart
saul,10,Saul
respond,96,"respond, responds"
.in,13,".In, .in"
fair,1,faire
''de,75,"''De, ''de"
.if,1,.if
s'tebya,1,s'tebya
result,113,"resulting, result, results, Results"
respons,409,"responsibility, Responses, responsible, response, responses"
fail,117,"failed, fails, fail"
best,179,"BEST, Best, best"
carebear,1,Carebear
//userwww.service.emory.edu/~kim/orgasm.html,1,//userwww.service.emory.edu/~kim/orgasm.html
psychology|psych,2,psychology|psychic
wikipedia,160,"WIKIPEDIA, wikipedia, Wikipedia"
irv,22,Irving
xvi,33,XVI
figur,1,figure
score,4,"scored, score"
humankind,149,humankind
melissa,2,"melissa, Melissa"
"reasons,",1,"reasons,"
scorn,46,scorned
affection//,1,affection//
inabl,4,inability
men,255,"men, Men, MEN, mens"
extend,5,"Extended, extended, extends"
n'en,1,n'en
hongkongai,1,hongkongais
extens,1,extensively
eshgh,2,Eshgh
extent,8,extent
toler,52,"tolerance, tolerate, tolerating"
advertis,1,ADVERTISEMENT
===hindu===,95,===Hindu===
roller,15,roller
brown,2,"Browning, BROWNE"
kacica,1,Kacica
demandez,1,demandez
logic,1,logic
machan,12,Machan
countri,151,"country, countries"
gupita,1,Gupita
compromis,1,compromise
