,added,deleted,added - deleted,abs(added - deleted)
love,41315.0,40990.0,325.0,325.0
be,5886.0,5831.0,55.0,55.0
god,4074.0,4024.0,50.0,50.0
with,4237.0,4193.0,44.0,44.0
by,4147.0,4104.0,43.0,43.0
one,3169.0,3135.0,34.0,34.0
cite,556.0,522.0,34.0,34.0
from,2039.0,2007.0,32.0,32.0
thi,3509.0,3478.0,31.0,31.0
which,3357.0,3326.0,31.0,31.0
not,3376.0,3346.0,30.0,30.0
on,3083.0,3055.0,28.0,28.0
are,3558.0,3531.0,27.0,27.0
other,2959.0,2934.0,25.0,25.0
use,2679.0,2654.0,25.0,25.0
also,1620.0,1595.0,25.0,25.0
human,2025.0,2001.0,24.0,24.0
word,2679.0,2656.0,23.0,23.0
romant,2364.0,2341.0,23.0,23.0
term,1731.0,1708.0,23.0,23.0
ha,2741.0,2719.0,22.0,22.0
feel,1621.0,1599.0,22.0,22.0
person,2661.0,2640.0,21.0,21.0
can,2483.0,2462.0,21.0,21.0
natur,1747.0,1726.0,21.0,21.0
passion,3796.0,3776.0,20.0,20.0
often,1887.0,1867.0,20.0,20.0
psycholog,1684.0,1665.0,19.0,19.0
more,1732.0,1714.0,18.0,18.0
form,1314.0,1296.0,18.0,18.0
hi,1307.0,1289.0,18.0,18.0
such,1030.0,1012.0,18.0,18.0
all,2547.0,2530.0,17.0,17.0
but,2408.0,2391.0,17.0,17.0
have,1872.0,1855.0,17.0,17.0
peopl,1822.0,1805.0,17.0,17.0
consid,871.0,854.0,17.0,17.0
wa,856.0,839.0,17.0,17.0
differ,2011.0,1995.0,16.0,16.0
view,1568.0,1552.0,16.0,16.0
life,1551.0,1535.0,16.0,16.0
theori,1270.0,1254.0,16.0,16.0
refer,1881.0,1866.0,15.0,15.0
commit,1835.0,1820.0,15.0,15.0
includ,1204.0,1189.0,15.0,15.0
book,878.0,863.0,15.0,15.0
relationship,2611.0,2597.0,14.0,14.0
mean,2135.0,2121.0,14.0,14.0
attach,1501.0,1487.0,14.0,14.0
christian,599.0,585.0,14.0,14.0
i,2922.0,2909.0,13.0,13.0
like,1754.0,1741.0,13.0,13.0
he,1143.0,1130.0,13.0,13.0
ero,927.0,914.0,13.0,13.0
who,915.0,902.0,13.0,13.0
three,628.0,615.0,13.0,13.0
greek,1841.0,1829.0,12.0,12.0
desir,1623.0,1611.0,12.0,12.0
interperson,1468.0,1456.0,12.0,12.0
state,1247.0,1235.0,12.0,12.0
concept,1201.0,1189.0,12.0,12.0
anoth,1164.0,1152.0,12.0,12.0
lust,577.0,565.0,12.0,12.0
fromm,182.0,170.0,12.0,12.0
sexual,1787.0,1776.0,11.0,11.0
you,1712.0,1701.0,11.0,11.0
world,787.0,776.0,11.0,11.0
need,416.0,405.0,11.0,11.0
augustin,263.0,252.0,11.0,11.0
file,50.0,39.0,11.0,11.0
their,2028.0,2018.0,10.0,10.0
there,1824.0,1814.0,10.0,10.0
most,1499.0,1489.0,10.0,10.0
between,1277.0,1267.0,10.0,10.0
believ,983.0,973.0,10.0,10.0
lover,941.0,931.0,10.0,10.0
two,885.0,875.0,10.0,10.0
last,866.0,856.0,10.0,10.0
