,count added,count deleted,added - deleted,abs(added - deleted)
moral,7595.0,7421.0,174.0,174.0
cite,728.0,665.0,63.0,63.0
journal,620.0,565.0,55.0,55.0
on,1577.0,1530.0,47.0,47.0
be,1934.0,1898.0,36.0,36.0
with,1347.0,1313.0,34.0,34.0
religion,956.0,923.0,33.0,33.0
are,1661.0,1629.0,32.0,32.0
by,1097.0,1066.0,31.0,31.0
ethic,1356.0,1326.0,30.0,30.0
from,1106.0,1078.0,28.0,28.0
thi,1005.0,978.0,27.0,27.0
cultur,923.0,897.0,26.0,26.0
other,780.0,756.0,24.0,24.0
year,240.0,216.0,24.0,24.0
have,824.0,801.0,23.0,23.0
behavior,776.0,753.0,23.0,23.0
studi,602.0,579.0,23.0,23.0
page,197.0,174.0,23.0,23.0
theori,571.0,549.0,22.0,22.0
religi,512.0,490.0,22.0,22.0
titl,323.0,301.0,22.0,22.0
issu,219.0,197.0,22.0,22.0
not,975.0,954.0,21.0,21.0
which,939.0,918.0,21.0,21.0
such,685.0,664.0,21.0,21.0
social,655.0,634.0,21.0,21.0
book,225.0,204.0,21.0,21.0
univers,483.0,463.0,20.0,20.0
valu,412.0,392.0,20.0,20.0
's,805.0,786.0,19.0,19.0
develop,497.0,478.0,19.0,19.0
url,175.0,156.0,19.0,19.0
volum,139.0,120.0,19.0,19.0
they,730.0,712.0,18.0,18.0
religios,438.0,420.0,18.0,18.0
|title=,145.0,127.0,18.0,18.0
first1,92.0,74.0,18.0,18.0
individu,1065.0,1048.0,17.0,17.0
group,600.0,583.0,17.0,17.0
right,767.0,751.0,16.0,16.0
also,547.0,531.0,16.0,16.0
good,547.0,531.0,16.0,16.0
principl,487.0,471.0,16.0,16.0
philosophi,480.0,464.0,16.0,16.0
person,402.0,386.0,16.0,16.0
crime,341.0,325.0,16.0,16.0
publish,268.0,252.0,16.0,16.0
last1,92.0,76.0,16.0,16.0
state,245.0,230.0,15.0,15.0
can,739.0,725.0,14.0,14.0
we,573.0,559.0,14.0,14.0
between,523.0,509.0,14.0,14.0
wrong,523.0,509.0,14.0,14.0
evolutionari,446.0,432.0,14.0,14.0
