pagename,average word length,length,number of backlinks,number of backlinks from ns 0,number of categories,number of links,number of revisions,number of revisions by IP,number of revisions by alive registered user,quality of the article,specialization,words
2D computer graphics,5.92561746123,24115,0,0,7,403,370,124,246,4,0.1909,3482
3D computer graphics,6.35953177258,8802,0,0,8,195,893,368,525,4,0.0627,1196
3-sphere,5.07633851468,17591,0,0,7,116,277,59,218,4,0.3721,2895
Affine geometry,5.42851117672,15242,0,0,1,97,205,40,165,3,0.3904,2371
Algebraic geometry,5.76826451054,46877,1375,1009,1,379,626,189,437,4,0.1887,6926
Altitude (triangle),5.54886831276,12731,0,0,2,59,356,158,198,3,0.0635,1944
Analytic geometry,5.59686932849,29079,0,0,1,193,477,191,286,4,0.0972,4408
Angle,5.14593884825,32764,0,0,11,192,1742,704,1038,4,0.0337,5331
Angle trisection,5.5345358557,14853,0,0,7,163,434,110,324,3,0.2845,2273
Aperiodic tiling,6.04756596061,18965,0,0,2,227,277,62,215,4,0.3557,2691
Archimedean solid,7.18966737438,11572,0,0,1,139,339,69,270,3,0.3789,1413
Astronomy,6.12170001184,60157,0,0,6,482,4963,1903,3060,5,0.0131,8447
Ball (mathematics),5.10546875,6252,0,0,8,61,271,72,199,3,0.2958,1024
Bézier curve,5.68034292713,21818,226,108,9,97,898,340,558,4,0.0891,3266
Birational geometry,5.58441558442,13182,0,0,2,61,58,15,43,3,0.1736,2002
B-spline,5.48656716418,15211,109,54,6,57,402,161,241,4,0.1063,2345
Circle,5.24751178628,23853,0,0,8,185,3529,1544,1985,4,0.0074,3818
Circumscribed circle,5.58921161826,17468,0,0,3,90,336,103,233,4,0.2284,2651
Compass-and-straightedge construction,5.55953693495,23798,0,0,4,108,584,173,411,4,0.1999,3628
Computer graphics,5.96872727273,57492,2698,1506,7,705,847,391,456,4,0.0308,8250
Concyclic points,5.78264758497,7583,0,0,2,59,88,16,72,3,0.2997,1118
Conformal geometry,5.64778534923,15609,0,0,8,77,167,13,154,4,0.5407,2348
Congruence (geometry),5.69730941704,11948,0,0,7,51,799,378,421,3,0.021,1784
Conic section,5.33093126386,34263,0,0,10,138,872,282,590,3,0.1385,5412
Convex hull,5.44638140518,12203,406,279,4,85,348,82,266,4,0.3272,1893
Convex uniform honeycomb,8.43122270742,25917,0,0,4,182,810,50,760,4,0.6471,2748
Coxeter group,5.65628435324,18165,0,0,1,210,304,52,252,4,0.4414,2729
Cross-ratio,5.34423076923,16495,0,0,4,88,189,27,162,3,0.4635,2600
Crystal,6.19292717087,20543,0,0,9,199,2777,1299,1478,3,0.0061,2856
Crystal system,6.80534178361,17242,0,0,6,82,338,78,260,3,0.336,2209
Delaunay triangulation,5.8194254446,14955,143,85,2,52,393,130,263,3,0.1911,2193
Desargues' theorem,5.76389756402,10829,0,0,2,45,218,17,201,3,0.5921,1601
Differential geometry,6.55150613611,20306,0,0,1,280,475,127,348,4,0.2598,2689
Discrete geometry,6.55823777912,12524,0,0,1,213,95,10,85,3,0.3889,1657
Ellipse,5.43440755208,39533,0,0,8,223,2041,754,1287,3,0.0389,6144
Ellipsoid,5.86027190332,9083,0,0,4,60,425,167,258,3,0.1101,1324
Elliptic geometry,5.47551789077,13754,0,0,3,59,203,86,117,4,0.0861,2124
